"_id",FIPS,Geographic Identifier,Name of Area,Qualifying Name,total_pop,l5_pop,l10_pop,l15_pop,l20_pop,l25_pop,l35_pop,l45_pop,l55_pop,l65_pop,l75_pop,l85_pop
5e9fb05b7d85fe72264436ee,1001,05000US01001,Autauga County,"Autauga County, Alabama",55200,51937,47928,44358,41831,37166,30102,22728,14875,8050,3339,815
5e9fb05b7d85fe72264436ef,1003,05000US01003,Baldwin County,"Baldwin County, Alabama",208107,196498,184809,170486,162430,146989,123663,98286,69956,40665,16114,3949
5e9fb05b7d85fe72264436f0,1005,05000US01005,Barbour County,"Barbour County, Alabama",25782,24392,22942,21265,20346,18173,14498,11394,7942,4634,1814,422
5e9fb05b7d85fe72264436f1,1007,05000US01007,Bibb County,"Bibb County, Alabama",22527,21252,20074,18785,17868,15780,12705,9810,6371,3661,1539,427
5e9fb05b7d85fe72264436f2,1009,05000US01009,Blount County,"Blount County, Alabama",57645,54160,50528,46533,44177,39627,32841,25688,17741,10233,4101,866
5e9fb05b7d85fe72264436f3,1011,05000US01011,Bullock County,"Bullock County, Alabama",10352,9756,9122,8582,8202,7104,5984,4385,3063,1616,605,175
5e9fb05b7d85fe72264436f4,1013,05000US01013,Butler County,"Butler County, Alabama",20025,18820,17527,16253,15459,13888,11464,9063,6636,3806,1725,557
5e9fb05b7d85fe72264436f5,1015,05000US01015,Calhoun County,"Calhoun County, Alabama",115098,108536,101692,94534,89902,79135,64118,50273,35315,19386,7897,2050
5e9fb05b7d85fe72264436f6,1017,05000US01017,Chambers County,"Chambers County, Alabama",33826,31876,30148,28049,26820,23564,19873,15900,11252,6409,2634,702
5e9fb05b7d85fe72264436f7,1019,05000US01019,Cherokee County,"Cherokee County, Alabama",25853,24649,23179,21659,20567,18673,16144,13227,9585,5621,2195,479
5e9fb05b7d85fe72264436f8,1021,05000US01021,Chilton County,"Chilton County, Alabama",43930,41163,38060,35191,33283,29793,23964,18356,12700,6927,2791,602
5e9fb05b7d85fe72264436f9,1023,05000US01023,Choctaw County,"Choctaw County, Alabama",13075,12404,11697,10937,10425,9436,8110,6664,4858,2884,1237,295
5e9fb05b7d85fe72264436fa,1025,05000US01025,Clarke County,"Clarke County, Alabama",24387,23023,21648,20057,18998,16870,14277,11356,8039,4626,2051,465
5e9fb05b7d85fe72264436fb,1027,05000US01027,Clay County,"Clay County, Alabama",13378,12708,12057,11060,10559,9285,8091,6437,4613,2652,1108,249
5e9fb05b7d85fe72264436fc,1029,05000US01029,Cleburne County,"Cleburne County, Alabama",14938,14117,13062,12100,11500,10445,8739,6915,4805,2803,1185,412
5e9fb05b7d85fe72264436fd,1031,05000US01031,Coffee County,"Coffee County, Alabama",51288,48110,44859,41271,39127,34912,28438,21674,14837,8375,3514,906
5e9fb05b7d85fe72264436fe,1033,05000US01033,Colbert County,"Colbert County, Alabama",54495,51397,48125,44936,42887,38638,32142,25606,18211,10502,4499,1216
5e9fb05b7d85fe72264436ff,1035,05000US01035,Conecuh County,"Conecuh County, Alabama",12514,11799,10905,10333,9863,8848,7560,6209,4608,2707,1073,312
5e9fb05b7d85fe7226443700,1037,05000US01037,Coosa County,"Coosa County, Alabama",10855,10513,10081,9359,9005,8230,7072,5811,4265,2368,1018,201
5e9fb05b7d85fe7226443701,1039,05000US01039,Covington County,"Covington County, Alabama",37351,35209,32713,30575,29161,26438,22144,18046,13151,7650,3420,862
5e9fb05b7d85fe7226443702,1041,05000US01041,Crenshaw County,"Crenshaw County, Alabama",13865,13078,12210,11285,10749,9675,8108,6366,4540,2542,1007,311
5e9fb05b7d85fe7226443703,1043,05000US01043,Cullman County,"Cullman County, Alabama",82313,77334,72598,67002,63741,57212,47046,36868,25855,14803,6047,1101
5e9fb05b7d85fe7226443704,1045,05000US01045,Dale County,"Dale County, Alabama",49255,46024,42862,39714,37749,33382,26256,20440,14287,7939,3360,864
5e9fb05b7d85fe7226443705,1047,05000US01047,Dallas County,"Dallas County, Alabama",40029,37552,34710,32028,30249,26600,21926,17471,12536,6705,2712,530
5e9fb05b7d85fe7226443706,1049,05000US01049,DeKalb County,"DeKalb County, Alabama",71200,66949,62033,56882,53720,47876,39284,30267,20871,11619,4572,1039
5e9fb05b7d85fe7226443707,1051,05000US01051,Elmore County,"Elmore County, Alabama",81212,76476,71715,66255,62973,55759,44594,33461,22179,11770,4499,1141
5e9fb05b7d85fe7226443708,1053,05000US01053,Escambia County,"Escambia County, Alabama",37328,35206,32916,30425,29000,25965,20983,16181,11284,6476,2735,658
5e9fb05b7d85fe7226443709,1055,05000US01055,Etowah County,"Etowah County, Alabama",102939,97146,90998,84788,80658,71995,59906,46958,32910,18877,7697,1942
5e9fb05b7d85fe722644370a,1057,05000US01057,Fayette County,"Fayette County, Alabama",16585,15660,14746,13710,13023,11717,9818,7943,5764,3392,1378,368
5e9fb05b7d85fe722644370b,1059,05000US01059,Franklin County,"Franklin County, Alabama",31542,29377,27526,25110,23736,20812,16819,12847,8808,5100,2143,565
5e9fb05b7d85fe722644370c,1061,05000US01061,Geneva County,"Geneva County, Alabama",26491,25046,23343,21662,20635,18598,15625,12509,8909,5152,2163,439
5e9fb05b7d85fe722644370d,1063,05000US01063,Greene County,"Greene County, Alabama",8426,7936,7399,6911,6564,5833,4827,4061,3064,1716,762,202
