"_id",Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,median_income
5ea867b66307ba36aa1e01ce,1001,05000US01001,Autauga County,"Autauga County, Alabama",al,73530
5ea867b66307ba36aa1e01cf,1003,05000US01003,Baldwin County,"Baldwin County, Alabama",al,71951
5ea867b66307ba36aa1e01d0,1005,05000US01005,Barbour County,"Barbour County, Alabama",al,44339
5ea867b66307ba36aa1e01d1,1007,05000US01007,Bibb County,"Bibb County, Alabama",al,54840
5ea867b66307ba36aa1e01d2,1009,05000US01009,Blount County,"Blount County, Alabama",al,59882
5ea867b66307ba36aa1e01d3,1011,05000US01011,Bullock County,"Bullock County, Alabama",al,42550
5ea867b66307ba36aa1e01d4,1013,05000US01013,Butler County,"Butler County, Alabama",al,46312
5ea867b66307ba36aa1e01d5,1015,05000US01015,Calhoun County,"Calhoun County, Alabama",al,56402
5ea867b66307ba36aa1e01d6,1017,05000US01017,Chambers County,"Chambers County, Alabama",al,51386
5ea867b66307ba36aa1e01d7,1019,05000US01019,Cherokee County,"Cherokee County, Alabama",al,52375
5ea867b66307ba36aa1e01d8,1021,05000US01021,Chilton County,"Chilton County, Alabama",al,54255
5ea867b66307ba36aa1e01d9,1023,05000US01023,Choctaw County,"Choctaw County, Alabama",al,49138
5ea867b66307ba36aa1e01da,1025,05000US01025,Clarke County,"Clarke County, Alabama",al,51813
5ea867b66307ba36aa1e01db,1027,05000US01027,Clay County,"Clay County, Alabama",al,49598
5ea867b66307ba36aa1e01dc,1029,05000US01029,Cleburne County,"Cleburne County, Alabama",al,53510
5ea867b66307ba36aa1e01dd,1031,05000US01031,Coffee County,"Coffee County, Alabama",al,64723
5ea867b66307ba36aa1e01de,1033,05000US01033,Colbert County,"Colbert County, Alabama",al,59406
5ea867b66307ba36aa1e01df,1035,05000US01035,Conecuh County,"Conecuh County, Alabama",al,39835
5ea867b66307ba36aa1e01e0,1037,05000US01037,Coosa County,"Coosa County, Alabama",al,48118
5ea867b66307ba36aa1e01e1,1039,05000US01039,Covington County,"Covington County, Alabama",al,54513
5ea867b66307ba36aa1e01e2,1041,05000US01041,Crenshaw County,"Crenshaw County, Alabama",al,55687
5ea867b66307ba36aa1e01e3,1043,05000US01043,Cullman County,"Cullman County, Alabama",al,53354
5ea867b66307ba36aa1e01e4,1045,05000US01045,Dale County,"Dale County, Alabama",al,56602
5ea867b66307ba36aa1e01e5,1047,05000US01047,Dallas County,"Dallas County, Alabama",al,41102
5ea867b66307ba36aa1e01e6,1049,05000US01049,DeKalb County,"DeKalb County, Alabama",al,47478
5ea867b66307ba36aa1e01e7,1051,05000US01051,Elmore County,"Elmore County, Alabama",al,70299
5ea867b66307ba36aa1e01e8,1053,05000US01053,Escambia County,"Escambia County, Alabama",al,46605
5ea867b66307ba36aa1e01e9,1055,05000US01055,Etowah County,"Etowah County, Alabama",al,57899
5ea867b66307ba36aa1e01ea,1057,05000US01057,Fayette County,"Fayette County, Alabama",al,47841
5ea867b66307ba36aa1e01eb,1059,05000US01059,Franklin County,"Franklin County, Alabama",al,48380
5ea867b66307ba36aa1e01ec,1061,05000US01061,Geneva County,"Geneva County, Alabama",al,47603
5ea867b66307ba36aa1e01ed,1063,05000US01063,Greene County,"Greene County, Alabama",al,31077
5ea867b66307ba36aa1e01ee,1065,05000US01065,Hale County,"Hale County, Alabama",al,48165
5ea867b66307ba36aa1e01ef,1067,05000US01067,Henry County,"Henry County, Alabama",al,57902
5ea867b66307ba36aa1e01f0,1069,05000US01069,Houston County,"Houston County, Alabama",al,58526
5ea867b66307ba36aa1e01f1,1071,05000US01071,Jackson County,"Jackson County, Alabama",al,49216
5ea867b66307ba36aa1e01f2,1073,05000US01073,Jefferson County,"Jefferson County, Alabama",al,67455
5ea867b66307ba36aa1e01f3,1075,05000US01075,Lamar County,"Lamar County, Alabama",al,50850
5ea867b66307ba36aa1e01f4,1077,05000US01077,Lauderdale County,"Lauderdale County, Alabama",al,62775
