"_id",FIPS,geo_indentifier,area,full_name,state,logical_record_number,state_number,county_number,all_pop,manage_pop,prof_pop,health_pop,protect_pop,food_pop,building_pop,care_pop,sale_pop,office_pop,farm_pop,construction_pop,production_pop,transportation_pop,wfh_pop
5e7eb59d99fe879b944e9f2d,1001,05000US01001,Autauga County,"Autauga County, Alabama",al,13,1,1,24124,3074,6262,419,705,1292,704,725,2331,3000,69,1919,1606,2018,12336
5e7eb59e99fe879b944e9f2e,1003,05000US01003,Baldwin County,"Baldwin County, Alabama",al,14,1,3,93379,13731,20192,2034,1776,5786,4956,2359,12321,10188,325,8809,4687,6215,44111
5e7eb59e99fe879b944e9f2f,1005,05000US01005,Barbour County,"Barbour County, Alabama",al,15,1,5,8720,959,1302,195,257,334,415,76,681,1048,230,908,1349,966,3309
5e7eb59e99fe879b944e9f30,1007,05000US01007,Bibb County,"Bibb County, Alabama",al,16,1,7,8099,544,1231,365,241,321,349,240,676,855,86,1327,832,1032,2630
5e7eb59e99fe879b944e9f31,1009,05000US01009,Blount County,"Blount County, Alabama",al,17,1,9,21346,2450,3935,566,469,672,755,314,1895,2674,197,3162,2358,1899,9059
5e7eb59e99fe879b944e9f32,1011,05000US01011,Bullock County,"Bullock County, Alabama",al,18,1,11,3940,305,521,63,123,100,307,81,317,374,53,362,970,364,1200
5e7eb59e99fe879b944e9f33,1013,05000US01013,Butler County,"Butler County, Alabama",al,19,1,13,7885,709,1414,276,89,528,247,125,661,854,67,847,1240,828,2977
5e7eb59e99fe879b944e9f34,1015,05000US01015,Calhoun County,"Calhoun County, Alabama",al,20,1,15,48157,5088,8504,1222,1137,2567,1949,1241,5431,5726,268,4766,6005,4253,19318
5e7eb59e99fe879b944e9f35,1017,05000US01017,Chambers County,"Chambers County, Alabama",al,21,1,17,14786,1529,2102,358,387,678,603,334,1188,1702,133,1341,3006,1425,5333
5e7eb59e99fe879b944e9f36,1019,05000US01019,Cherokee County,"Cherokee County, Alabama",al,22,1,19,9805,710,2152,244,214,401,287,54,807,798,112,1165,1806,1055,3660
5e7eb59e99fe879b944e9f37,1021,05000US01021,Chilton County,"Chilton County, Alabama",al,23,1,21,17500,1876,2370,390,220,798,581,343,1898,1996,188,2995,2176,1669,6242
5e7eb59e99fe879b944e9f38,1023,05000US01023,Choctaw County,"Choctaw County, Alabama",al,24,1,23,4264,325,668,133,151,175,206,27,438,455,194,537,572,383,1448
5e7eb59e99fe879b944e9f39,1025,05000US01025,Clarke County,"Clarke County, Alabama",al,25,1,25,7647,490,1277,170,152,268,346,104,823,737,95,965,1052,1168,2504
5e7eb59e99fe879b944e9f3a,1027,05000US01027,Clay County,"Clay County, Alabama",al,26,1,27,5542,400,865,146,38,207,217,141,330,528,82,596,1366,626,1793
5e7eb59e99fe879b944e9f3b,1029,05000US01029,Cleburne County,"Cleburne County, Alabama",al,27,1,29,5628,622,853,86,49,250,146,59,541,725,128,807,913,449,2200
5e7eb59e99fe879b944e9f3c,1031,05000US01031,Coffee County,"Coffee County, Alabama",al,28,1,31,21725,2611,4576,603,620,1005,912,454,1756,2390,215,2544,1702,2337,9577
5e7eb59e99fe879b944e9f3d,1033,05000US01033,Colbert County,"Colbert County, Alabama",al,29,1,33,22436,2289,3965,795,390,1009,833,314,2422,2840,41,2472,2743,2323,9094
5e7eb59e99fe879b944e9f3e,1035,05000US01035,Conecuh County,"Conecuh County, Alabama",al,30,1,35,3892,217,349,200,144,169,225,11,361,538,57,396,473,752,1104
5e7eb59e99fe879b944e9f3f,1037,05000US01037,Coosa County,"Coosa County, Alabama",al,31,1,37,4110,349,502,191,66,221,162,118,496,514,15,594,563,319,1365
5e7eb59e99fe879b944e9f40,1039,05000US01039,Covington County,"Covington County, Alabama",al,32,1,39,14899,1647,2733,295,264,561,658,304,1331,1773,238,2151,1413,1531,6153
5e7eb59e99fe879b944e9f41,1041,05000US01041,Crenshaw County,"Crenshaw County, Alabama",al,33,1,41,5612,525,847,158,100,173,304,151,597,723,81,679,728,546,2095
5e7eb59e99fe879b944e9f42,1043,05000US01043,Cullman County,"Cullman County, Alabama",al,34,1,43,33003,3362,5546,899,440,1514,1153,789,3691,3594,353,4695,3215,3752,12502
5e7eb59e99fe879b944e9f43,1045,05000US01045,Dale County,"Dale County, Alabama",al,35,1,45,18025,1893,2876,298,434,894,845,400,2270,2220,125,2213,1517,2040,6989
5e7eb59e99fe879b944e9f44,1047,05000US01047,Dallas County,"Dallas County, Alabama",al,36,1,47,14295,1209,2542,508,420,553,503,427,1044,1594,98,1108,2785,1504,5345
5e7eb59e99fe879b944e9f45,1049,05000US01049,DeKalb County,"DeKalb County, Alabama",al,37,1,49,28637,2891,3757,907,433,1168,1236,781,2580,2948,333,3189,5176,3238,9596
5e7eb59e99fe879b944e9f46,1051,05000US01051,Elmore County,"Elmore County, Alabama",al,38,1,51,33811,5187,7262,473,842,1281,970,754,3669,4184,184,3373,2692,2940,16633
5e7eb59e99fe879b944e9f47,1053,05000US01053,Escambia County,"Escambia County, Alabama",al,39,1,53,12182,1184,1774,421,648,601,690,283,1282,1508,69,1235,1446,1041,4466
5e7eb59e99fe879b944e9f48,1055,05000US01055,Etowah County,"Etowah County, Alabama",al,40,1,55,42367,4523,8287,1549,899,2921,1611,850,4478,4295,189,3668,4997,4100,17105
5e7eb59e99fe879b944e9f49,1057,05000US01057,Fayette County,"Fayette County, Alabama",al,41,1,57,6380,598,1061,298,110,293,274,101,652,525,72,639,963,794,2184
5e7eb59e99fe879b944e9f4a,1059,05000US01059,Franklin County,"Franklin County, Alabama",al,42,1,59,12849,1159,1881,230,144,428,674,311,1266,1149,51,1566,2218,1772,4189
5e7eb59e99fe879b944e9f4b,1061,05000US01061,Geneva County,"Geneva County, Alabama",al,43,1,61,10047,959,1558,387,242,363,361,255,797,1183,166,1759,1034,983,3700
5e7eb59e99fe879b944e9f4c,1063,05000US01063,Greene County,"Greene County, Alabama",al,44,1,63,2204,252,337,119,57,107,107,2,129,333,0,166,284,311,922
5e7eb59e99fe879b944e9f4d,1065,05000US01065,Hale County,"Hale County, Alabama",al,45,1,65,5083,455,958,222,81,202,286,91,499,667,146,426,689,361,2080
5e7eb59e99fe879b944e9f4e,1067,05000US01067,Henry County,"Henry County, Alabama",al,46,1,67,6868,829,1296,385,65,570,263,101,680,669,98,543,522,847,2794
5e7eb59e99fe879b944e9f4f,1069,05000US01069,Houston County,"Houston County, Alabama",al,47,1,69,44291,4926,9105,1479,847,2840,1978,1067,5862,4879,295,4030,2887,4096,18910
5e7eb59e99fe879b944e9f50,1071,05000US01071,Jackson County,"Jackson County, Alabama",al,48,1,71,20189,1981,3507,471,342,687,893,326,1829,2013,146,2235,3188,2571,7501
5e7eb59e99fe879b944e9f51,1073,05000US01073,Jefferson County,"Jefferson County, Alabama",al,49,1,73,302428,45199,72424,8466,6422,16232,11296,8169,34287,37363,349,22094,16812,23315,154986
5e7eb59e99fe879b944e9f52,1075,05000US01075,Lamar County,"Lamar County, Alabama",al,50,1,75,5338,397,1049,88,126,121,280,103,360,578,43,803,931,459,2024
5e7eb59e99fe879b944e9f53,1077,05000US01077,Lauderdale County,"Lauderdale County, Alabama",al,51,1,77,40130,4290,8342,992,877,2646,1426,1059,4486,5113,248,3777,3472,3402,17745
5e7eb59e99fe879b944e9f54,1079,05000US01079,Lawrence County,"Lawrence County, Alabama",al,52,1,79,12568,1093,2301,371,261,555,325,214,836,1243,124,1705,2063,1477,4637
