system_name,Population that can work from home,Total working population,work from home populuation ratio,non_wfh_ratio,Population commutes using transit,All working population,transit_pop_rate,vehicle0_renter_rate,vehicle0_renter,google_trend,google_trend_COVID19,google_trend_Coronavirus,Unique users,Total posts,pop,social_rate,car_pop,all_pop,car_ratio,average_commute_time,divergent_point,convergent_point,p55,p65,p75,p85,pl55,pb45,pl65,pl25,pl35,pl15,total_pop,pp45,pp55,pp65,pp75,pp85,net_post_per_capita,unique_users,total_post,positive_post,neutral_post,negative_post,balance,unique_user_per_capita,all_post_per_capita,positive_post_rate,neutral_post_rate,negative_post_rate,all_house,vehicle0_house,vehicle0_house_rate,vehicle1_house,vehicle2_house,vehicle3_house,vehicle4_house,black_pop,hispanic_pop,total_race_pop,black_ratio,hispanic_ratio,female_pop,total_sex_pop,female_ratio,white_pop,asian_pop,nonwhas_pop,nonwhite_ratio,median_income,divergent_point,convergent_point,B_old,B_20200502,negative_B,Work from home populuation ratio,k_20200502,decay_duration,stretch_factor,average_procrustes_distance,date_emergency,B,L_corona,b,convergent_point,country,county,county_FIPS,divergent_point,k,k_corona,l_corona,lat,lon,metro_area,modified_at,modified_at_corona,state,state_FIPS,t0,t0_corona,google_trend,distance,stretch_factor,average_procrustes_distance,first_peak_normal,first_peak_actual,second_peak_normal,second_peak_actual,first_peak_diff,second_peak_diff,google_trend_COVID19,google_trend_Coronavirus,pop_den,area,employment,employ_den,transit_score,state,county,metro_area,homelessness,homeless_ratio,B,median_income
 Valley Metro ,1024872,2004236,0.511352954,0.488647046,44412,1976339,0.022471853,0.048418331,73633,35,61,73,492,982,4253913,0.000115658,1724792,1976339,0.872720723,26,16.57467625,42.71426654,1096423,256545,256545,72967,0.742255425,0.324810827,0.939691997,0.339081218,0.483889069,0.203502751,4253913,0.385118831,0.257744575,0.060308003,0.060308003,0.017152913,-1.76E-05,492,982,334,239,409,-75,0.000115658,0.000168999,7.85E-05,5.62E-05,9.61E-05,1520767,93549,0.061514354,549622,589280,204391,62304,232690,1311091,4253913,0.054700225,0.308208231,2149768,4253913,0.505362475,3301814,176740,0.182269595,0.223817224,73240,16.57467625,42.71426654,-0.592635245,-0.617091526,0.592635245,0.511352954,0.272479775,26.13915047,,,25,-0.610361724,42.40786177,0.019158474,42.71426654,US,Maricopa,4013,16.57467625,0.280307503,0.048831678,-188.2027802,33.45,-112.06,Phoenix,20200517,20200521,Arizona,4,29.6444714,4,35,,,,,,,,,,61,73,462.4195,9199.250603,2004236,217.8694859,36,Arizona,Maricopa,Phoenix,6614,15,-0.610361724,73240
 AC Transit ,502525,847170,0.593180826,0.406819174,116644,767292,0.152020352,0.078934139,45219,33,65,78,33,39,1643700,2.01E-05,547295,767292,0.713281254,33,16.67834796,37.49100396,415473,89097,89097,28149,0.747233072,0.335148141,0.945794853,0.296462858,0.461862262,0.176264525,1643700,0.389353288,0.252766928,0.054205147,0.054205147,0.017125388,-2.43E-06,33,39,11,13,15,-4,2.01E-05,1.43E-05,6.69E-06,7.91E-06,9.13E-06,572870,54816,0.09568663,182927,207627,84396,30510,177135,369061,1643700,0.107766016,0.224530632,836529,1643700,0.508930462,681725,486434,0.28931131,0.585249741,111231,16.67834796,37.49100396,-0.830179952,-0.855558979,0.830179952,0.593180826,0.361375887,20.8123058,3.044767154,0.642796243,18,-0.865471351,127.8439189,-0.023142879,37.49100396,US,Alameda,6001,16.67834796,0.352051333,0.046292392,-90.22552236,37.77,-122.27,SF Bay Area,20200517,20200521,California,6,27.08467596,41,33,0.528951502,3.044767154,0.642796243,7.975,8.125,16.925,14.85,0.15,-2.075,65,78,2229.351,737.2999226,847170,1149.016803,41,California,Alameda,SF Bay Area,8022,48.1,-0.865471351,111231
 ART ,2390559,4869658,0.490909013,0.509090987,294952,4749180,0.062105879,0.076891899,254213,38,62,73,1937,3955,10098052,0.000191819,3963851,4749180,0.834639032,31,18.38878004,38.10940758,2478262,564884,564884,180184,0.75458019,0.3251336,0.944060102,0.322098064,0.481528319,0.184119076,10098052,0.381073498,0.24541981,0.055939898,0.055939898,0.017843441,-2.53E-05,1937,3955,1302,1096,1557,-255,0.000191819,0.000274153,0.000128936,0.000108536,0.000154188,3306109,298364,0.090246268,1121855,1167265,462324,175081,823987,4893603,10098052,0.081598609,0.484608616,5121264,10098052,0.507153657,5186859,1469968,0.340781073,0.486350536,72362,18.38878004,38.10940758,-0.662753205,-0.755555951,0.662753205,0.490909013,0.33530525,19.72029569,2.186147797,0.546929325,18,-0.739277931,99.95676702,0.01440303,38.10940758,US,Los Angeles,6037,18.38878004,0.371546153,0.058253939,-693.6242805,33.97,-118.24,Los Angeles,20200517,20200521,California,6,28.24909381,4,38,0.220299086,2.186147797,0.546929325,7,8.575,15.525,16.275,1.575,0.75,62,73,2488.312,4058.19327,4869658,1199.957143,52.6,California,Los Angeles,Los Angeles,56257,60.5,-0.739277931,72362
 Beach Cities Transit ,2390559,4869658,0.490909013,0.509090987,294952,4749180,0.062105879,0.076891899,254213,38,62,73,1937,3955,10098052,0.000191819,3963851,4749180,0.834639032,31,17.35229665,39.06145563,2478262,564884,564884,180184,0.75458019,0.3251336,0.944060102,0.322098064,0.481528319,0.184119076,10098052,0.381073498,0.24541981,0.055939898,0.055939898,0.017843441,-2.53E-05,1937,3955,1302,1096,1557,-255,0.000191819,0.000274153,0.000128936,0.000108536,0.000154188,3306109,298364,0.090246268,1121855,1167265,462324,175081,823987,4893603,10098052,0.081598609,0.484608616,5121264,10098052,0.507153657,5186859,1469968,0.340781073,0.486350536,72362,17.35229665,39.06145563,-0.764783996,-0.790016463,0.764783996,0.490909013,0.328028058,21.7087937,2.225887934,0.59660656,18,-0.780791227,99.95676702,0.036569032,39.06145563,US,Los Angeles,6037,17.35229665,0.337512996,0.058253939,-693.6242805,33.97,-118.24,Los Angeles,20200517,20200521,California,6,28.20687614,4,38,0.415902866,2.225887934,0.59660656,7.1,7.95,16.475,15.65,0.85,-0.825,62,73,2488.312,4058.19327,4869658,1199.957143,52.6,California,Los Angeles,Los Angeles,56257,60.5,-0.780791227,72362
 Big Blue Bus ,2390559,4869658,0.490909013,0.509090987,294952,4749180,0.062105879,0.076891899,254213,38,62,73,1937,3955,10098052,0.000191819,3963851,4749180,0.834639032,31,18.65462125,36.20068654,2478262,564884,564884,180184,0.75458019,0.3251336,0.944060102,0.322098064,0.481528319,0.184119076,10098052,0.381073498,0.24541981,0.055939898,0.055939898,0.017843441,-2.53E-05,1937,3955,1302,1096,1557,-255,0.000191819,0.000274153,0.000128936,0.000108536,0.000154188,3306109,298364,0.090246268,1121855,1167265,462324,175081,823987,4893603,10098052,0.081598609,0.484608616,5121264,10098052,0.507153657,5186859,1469968,0.340781073,0.486350536,72362,18.65462125,36.20068654,-0.776411319,-0.792873044,0.776411319,0.490909013,0.408395834,17.54577005,2.709004441,0.441320057,18,-0.784853057,99.95676702,0.014972611,36.20068654,US,Los Angeles,6037,18.65462125,0.417593527,0.058253939,-693.6242805,33.97,-118.24,Los Angeles,20200517,20200521,California,6,27.42765389,4,38,0.254793326,2.709004441,0.441320057,7,7.025,16.6,15.825,0.025,-0.775,62,73,2488.312,4058.19327,4869658,1199.957143,52.6,California,Los Angeles,Los Angeles,56257,60.5,-0.784853057,72362
 Capitol Corridor ,356357,686019,0.519456458,0.480543542,17800,671083,0.02652429,0.056636861,30359,33,64,66,64,77,1510023,4.24E-05,587410,671083,0.875316466,27,13.57032693,39.80347424,385144,84299,84299,26680,0.744941633,0.328398309,0.944173698,0.329624118,0.484829039,0.200426748,1510023,0.384224611,0.255058367,0.055826302,0.055826302,0.017668605,-2.65E-06,64,77,20,33,24,-4,4.24E-05,2.98E-05,1.32E-05,2.19E-05,1.59E-05,536029,37651,0.070240603,180603,201667,78096,27386,149064,347025,1510023,0.098716377,0.22981438,772281,1510023,0.511436581,875793,235474,0.264072799,0.42001347,75565,13.57032693,39.80347424,-0.804206225,-0.896583079,0.804206225,0.519456458,0.292335355,26.23270589,2.731561652,0.69679537,18,-0.910374496,86.70942663,0.017496508,39.80347424,US,Sacramento,6067,13.57032693,0.279307824,0.039959509,-93.54518301,38.58,-121.49,SF Bay Area,20200517,20200521,California,6,26.68690058,30,33,0.39822479,2.731561652,0.69679537,7.975,7.875,16.925,15.65,-0.1,-1.275,64,66,1564.069,965.4450167,686019,710.5728324,34,California,Sacramento,SF Bay Area,1151,25.8,-0.910374496,75565
 County Connection ,300402,547323,0.548856891,0.451143109,56845,532887,0.106673648,0.039650553,15554,33,65,78,13,16,1133247,1.15E-05,422413,532887,0.792687756,38,17.44288939,35.67329115,317840,70245,70245,21680,0.719531576,0.363378857,0.938014396,0.313901559,0.440787401,0.189595031,1133247,0.425364462,0.280468424,0.061985604,0.061985604,0.019130869,-3.53E-06,13,16,4,4,8,-4,1.15E-05,7.51E-06,3.53E-06,3.53E-06,7.06E-06,392277,21438,0.054650158,107267,152980,71972,27414,97333,288101,1133247,0.085888602,0.254226131,579546,1133247,0.511403075,648325,185065,0.264599862,0.427904949,107907,17.44288939,35.67329115,-0.769652429,-0.750471803,0.769652429,0.548856891,0.405972189,18.23009499,,,18,-0.754100834,110.2891383,-0.017487778,35.67329115,US,Contra Costa,6013,17.44288939,0.401917818,0.039892547,-70.88581675,37.86,-121.64,SF Bay Area,20200517,20200521,California,6,26.55809027,42,33,,,,,,,,,,65,78,1580.36,717.08171,547323,763.2644821,80,California,Contra Costa,SF Bay Area,2295,20,-0.754100834,107907
 Culver CityBus ,2390559,4869658,0.490909013,0.509090987,294952,4749180,0.062105879,0.076891899,254213,38,62,73,1937,3955,10098052,0.000191819,3963851,4749180,0.834639032,31,18.1810221,36.47818394,2478262,564884,564884,180184,0.75458019,0.3251336,0.944060102,0.322098064,0.481528319,0.184119076,10098052,0.381073498,0.24541981,0.055939898,0.055939898,0.017843441,-2.53E-05,1937,3955,1302,1096,1557,-255,0.000191819,0.000274153,0.000128936,0.000108536,0.000154188,3306109,298364,0.090246268,1121855,1167265,462324,175081,823987,4893603,10098052,0.081598609,0.484608616,5121264,10098052,0.507153657,5186859,1469968,0.340781073,0.486350536,72362,18.1810221,36.47818394,-0.792776841,-0.815204045,0.792776841,0.490909013,0.394245673,18.29685397,2.881464757,0.473328666,18,-0.809775187,99.95676702,0.011799901,36.47818394,US,Los Angeles,6037,18.1810221,0.400451357,0.058253939,-693.6242805,33.97,-118.24,Los Angeles,20200517,20200521,California,6,27.32960302,4,38,0.349503612,2.881464757,0.473328666,7,7.525,16.65,15.675,0.525,-0.975,62,73,2488.312,4058.19327,4869658,1199.957143,52.6,California,Los Angeles,Los Angeles,56257,60.5,-0.809775187,72362
 Foothill Transit ,2390559,4869658,0.490909013,0.509090987,294952,4749180,0.062105879,0.076891899,254213,38,62,73,1937,3955,10098052,0.000191819,3963851,4749180,0.834639032,31,19.10951625,35.47531452,2478262,564884,564884,180184,0.75458019,0.3251336,0.944060102,0.322098064,0.481528319,0.184119076,10098052,0.381073498,0.24541981,0.055939898,0.055939898,0.017843441,-2.53E-05,1937,3955,1302,1096,1557,-255,0.000191819,0.000274153,0.000128936,0.000108536,0.000154188,3306109,298364,0.090246268,1121855,1167265,462324,175081,823987,4893603,10098052,0.081598609,0.484608616,5121264,10098052,0.507153657,5186859,1469968,0.340781073,0.486350536,72362,19.10951625,35.47531452,-0.73336293,-0.744297077,0.73336293,0.490909013,0.431746153,16.36552288,2.31330742,0.418618701,18,-0.733275206,99.95676702,0.020533497,35.47531452,US,Los Angeles,6037,19.10951625,0.447709496,0.058253939,-693.6242805,33.97,-118.24,Los Angeles,20200517,20200521,California,6,27.29241538,4,38,0.139152887,2.31330742,0.418618701,7.025,7.275,15.925,15.75,0.25,-0.175,62,73,2488.312,4058.19327,4869658,1199.957143,52.6,California,Los Angeles,Los Angeles,56257,60.5,-0.733275206,72362
 Glendale Beeline ,2390559,4869658,0.490909013,0.509090987,294952,4749180,0.062105879,0.076891899,254213,38,62,73,1937,3955,10098052,0.000191819,3963851,4749180,0.834639032,31,20.343678,34.8897943,2478262,564884,564884,180184,0.75458019,0.3251336,0.944060102,0.322098064,0.481528319,0.184119076,10098052,0.381073498,0.24541981,0.055939898,0.055939898,0.017843441,-2.53E-05,1937,3955,1302,1096,1557,-255,0.000191819,0.000274153,0.000128936,0.000108536,0.000154188,3306109,298364,0.090246268,1121855,1167265,462324,175081,823987,4893603,10098052,0.081598609,0.484608616,5121264,10098052,0.507153657,5186859,1469968,0.340781073,0.486350536,72362,20.343678,34.8897943,-0.769915797,-0.775146035,0.769915797,0.490909013,0.486210246,14.54587152,,,18,-0.763134942,99.95676702,0.01745511,34.8897943,US,Los Angeles,6037,20.343678,0.50371681,0.058253939,-693.6242805,33.97,-118.24,Los Angeles,20200517,20200521,California,6,27.61673615,4,38,,,,,,,,,,62,73,2488.312,4058.19327,4869658,1199.957143,52.6,California,Los Angeles,Los Angeles,56257,60.5,-0.763134942,72362
