State,Date,Difference
Washington,29-Feb,14
California,4-Mar,18
Maryland,5-Mar,19
Kentucky,6-Mar,20
Utah,6-Mar,20
New York,13-Mar,27
Florida,7-Mar,21
Oregon,8-Mar,22
Indiana,6-Mar,20
New Jersey,9-Mar,23
Colorado,10-Mar,24
Iowa,9-Mar,23
Ohio,9-Mar,23
Pennsylvania,6-Mar,20
Illinois,9-Mar,23
Massachusetts,10-Mar,24
North Carolina,10-Mar,24
Michigan,10-Mar,24
Arizona,11-Mar,25
Connecticut,10-Mar,24
Louisiana,11-Mar,25
Virginia,12-Mar,26
Delaware,12-Mar,26
Montana,12-Mar,26
Nevada,12-Mar,26
Arkansas,11-Mar,25
Kansas,12-Mar,26
Wisconsin,12-Mar,26
Hawaii,5-Mar,19
Tennessee,12-Mar,26
Alabama,13-Mar,27
New Hampshire,13-Mar,27
South Carolina,13-Mar,27
idaho,13-Mar,27
Nebraska,13-Mar,27
missouri,13-Mar,27
Minnesota,13-Mar,27
Georgia,14-Mar,28
Rhode Island,9-Mar,23
New Mexico,11-Mar,25
Alaska,11-Mar,25
Mississippi,14-Mar,28
Wyoming,13-Mar,27
South Dakota,13-Mar,27
North Dakota,13-Mar,27
Maine,15-Mar,29
Vermont,13-Mar,27
Texas,13-Mar,27
