"_id",DMA,COVID19,Coronavirus
5ec1bfc1dcf71743db47d4c6,Abilene-Sweetwater TX,51,54
5ec1bfc1dcf71743db47d4c7,Albany GA,45,54
5ec1bfc1dcf71743db47d4c8,Albany-Schenectady-Troy NY,61,71
5ec1bfc1dcf71743db47d4c9,Albuquerque-Santa Fe NM,63,76
5ec1bfc1dcf71743db47d4ca,Alexandria LA,63,60
5ec1bfc1dcf71743db47d4cb,Alpena MI,91,100
5ec1bfc1dcf71743db47d4cc,Amarillo TX,57,55
5ec1bfc1dcf71743db47d4cd,Anchorage AK,89,68
5ec1bfc1dcf71743db47d4ce,Atlanta GA,55,68
5ec1bfc1dcf71743db47d4cf,Augusta GA,48,56
5ec1bfc1dcf71743db47d4d0,Austin TX,63,69
5ec1bfc1dcf71743db47d4d1,Bakersfield CA,56,62
5ec1bfc1dcf71743db47d4d2,Baltimore MD,61,70
5ec1bfc1dcf71743db47d4d3,Bangor ME,69,73
5ec1bfc1dcf71743db47d4d4,Baton Rouge LA,46,60
5ec1bfc1dcf71743db47d4d5,Beaumont-Port Arthur TX,44,52
5ec1bfc1dcf71743db47d4d6,Bend OR,84,71
5ec1bfc1dcf71743db47d4d7,"Billings, MT",59,71
5ec1bfc1dcf71743db47d4d8,Biloxi-Gulfport MS,59,57
5ec1bfc1dcf71743db47d4d9,Binghamton NY,77,69
5ec1bfc1dcf71743db47d4da,Birmingham AL,58,63
5ec1bfc1dcf71743db47d4db,Bluefield-Beckley-Oak Hill WV,50,71
5ec1bfc1dcf71743db47d4dc,Boise ID,67,83
5ec1bfc1dcf71743db47d4dd,Boston MA-Manchester NH,71,74
5ec1bfc1dcf71743db47d4de,Bowling Green KY,60,61
5ec1bfc1dcf71743db47d4df,Buffalo NY,60,64
5ec1bfc1dcf71743db47d4e0,Burlington VT-Plattsburgh NY,88,71
5ec1bfc1dcf71743db47d4e1,Butte-Bozeman MT,74,82
5ec1bfc1dcf71743db47d4e2,Casper-Riverton WY,62,74
5ec1bfc1dcf71743db47d4e3,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,68,66
5ec1bfc1dcf71743db47d4e4,Champaign & Springfield-Decatur IL,64,59
5ec1bfc1dcf71743db47d4e5,Charleston SC,53,62
5ec1bfc1dcf71743db47d4e6,Charleston-Huntington WV,62,63
5ec1bfc1dcf71743db47d4e7,Charlotte NC,48,62
5ec1bfc1dcf71743db47d4e8,Charlottesville VA,75,68
5ec1bfc1dcf71743db47d4e9,Chattanooga TN,54,61
