name,county,state,B,actual_B,justified_actual_B,actual_B_date,sources
BART,"Alameda, Contra Costa, San Francisco, San Mateo",California,-0.847552057,0.92,-0.92,2020-04-05T00:00:00.000Z,https://www.bart.gov/news/articles/2020/news20200225
Caltrain,"San Francisco, San Mateo, Santa Clara",California,-0.751253642,0.86,-0.86,2020-03-26T00:00:00.000Z,http://www.caltrain.com/about/MediaRelations/news/Caltrain_Updates__Novel_Coronavirus__COVID-19_.html?PageMode=Print
Capitol Corridor,Sacramento,California,-0.804206225,.95 - .9,-0.92,2020-03-21T00:00:00.000Z,https://www.capitolcorridor.org/blogs/get_on_board/stimulus-bill-capitol-corridor-funding/
CDTA,Albany,New York,-0.797251823,.3-.4,-0.35,2020-03-19T00:00:00.000Z,https://cbs6albany.com/news/coronavirus/public-transportation-faces-significant-losses-changes-as-coronavirus-keeps-people-home
Foothill Transit,Los Angeles,California,-0.73336293,>0.5,-0.5,2020-04-05T00:00:00.000Z,http://foothilltransit.org/covid/
King County Metro,King,Washington,-0.819618542,0.6,-0.6,2020-03-23T00:00:00.000Z,https://www.seattleweekly.com/news/king-county-metro-reduces-services-as-a-result-of-coronavirus/
LA Metro - Bus,Los Angeles,California,-0.710802041,.5 -.6,-0.55,2020-03-18T00:00:00.000Z,https://la.streetsblog.org/2020/03/19/metro-responds-to-covid-19-so-far-ridership-down-modest-service-reductions/
Long Island Rail Road,Suffolk,New York,-0.676243181,0.31,-0.31,2020-03-12T00:00:00.000Z,https://qns.com/story/2020/03/16/long-island-rail-road-employee-infected-with-covid-19-mta/
MARTA,Fulton,Georgia,-0.484209869,0.6,-0.6,2020-04-01T00:00:00.000Z,https://www.itsmarta.com/covid-19-public-info.aspx
MBTA,Suffolk,Massachusetts,-0.787638953,0.8,-0.8,2020-03-18T00:00:00.000Z,https://www.mbtabackontrack.com/blog/111-covid-19-and-mbta-ridership
METRO,Harris,Texas,-0.601475862,0.29,-0.29,2020-03-20T00:00:00.000Z,https://www.houstonchronicle.com/news/transportation/article/texas-med-center-shuttle-coronavirus-houston-texas-15145695.php
SORTA - Metro,Hamilton,Ohio,-0.558641672,.3 - .8,-0.55,2020-03-25T00:00:00.000Z,https://www.wvxu.org/post/metro-changing-service-hours-offering-free-fares-during-covid-19-pandemic#stream/0
Metro Transit St Louis,St Louis,Missouri,-0.492522858,0.4,-0.4,2020-03-22T00:00:00.000Z,https://www.metrostlouis.org/nextstop/metro-transit-to-adjust-service-in-response-to-covid-19/
Metro Transit,Ramsey,Minnesota,-0.691491395,.6 - .9,-0.75,2020-04-01T00:00:00.000Z,https://www.metrotransit.org/metro-transit%E2%80%99s-response-to-covid-19-coronavirus
Metro-North Railroad,"New York, Bronx, Westchester, Putnam, Dutchess, Rockland, Orange,Fairlield, New Haven",New York and Connecticut,-0.64710236,0.48,-0.48,2020-03-12T00:00:00.000Z,https://qns.com/story/2020/03/16/long-island-rail-road-employee-infected-with-covid-19-mta/
Miami-Dade Transit,Miami-Dade,Florida,-0.590266291,0.6,-0.6,2020-04-01T00:00:00.000Z,https://www.miamiherald.com/news/local/community/miami-dade/article241697711.html
MTA - Bronx Buses,Bronx,New York,-0.660506974,0.7,-0.7,2020-03-20T00:00:00.000Z,https://gothamist.com/news/subway-bus-coronavirus-covid-19-crowded-mta
MTA - Brooklyn Buses,Kings,New York,-0.695039418,0.7,-0.7,2020-03-20T00:00:00.000Z,https://gothamist.com/news/subway-bus-coronavirus-covid-19-crowded-mta
MTA - Manhattan Buses,New York,New York,-0.743569625,0.7,-0.7,2020-03-20T00:00:00.000Z,https://gothamist.com/news/subway-bus-coronavirus-covid-19-crowded-mta
MTA - NYC Bus Company,New York,New York,-0.679091677,0.7,-0.7,2020-03-20T00:00:00.000Z,https://gothamist.com/news/subway-bus-coronavirus-covid-19-crowded-mta
MTA - NYC Subway,New York,New York,-0.715117988,0.87,-0.87,2020-03-20T00:00:00.000Z,https://gothamist.com/news/subway-bus-coronavirus-covid-19-crowded-mta
MTA - Queens Buses,Queens,New York,-0.710703577,0.7,-0.7,2020-03-20T00:00:00.000Z,https://gothamist.com/news/subway-bus-coronavirus-covid-19-crowded-mta
MTA - Staten Island Buses,Richmond,New York,-0.730948082,0.7,-0.7,2020-03-20T00:00:00.000Z,https://gothamist.com/news/subway-bus-coronavirus-covid-19-crowded-mta
NCTD,San Diego,California,-0.845886989,0.73,-0.73,2020-03-27T00:00:00.000Z,https://gonctd.com/wp-content/uploads/2020/03/NCTD-COVID-19-Fact-Sheet.pdf
NFTA,Erie,New York,-0.660017828,0.7,-0.7,2020-03-20T00:00:00.000Z,https://gothamist.com/news/subway-bus-coronavirus-covid-19-crowded-mta
NICE Bus,Nassau,New York,-0.686799934,0.7,-0.7,2020-03-20T00:00:00.000Z,https://gothamist.com/news/subway-bus-coronavirus-covid-19-crowded-mta
NJ Transit - Bus,New Jersey,New Jersey,-0.65618664,0.9,-0.9,2020-04-06T00:00:00.000Z,https://www.njtransit.com/var/var_servlet.srv?hdnPageAction=COVID19ProtectionTo
NJ Transit - Rail,New Jersey,New Jersey,-0.635018621,0.9,-0.9,2020-04-06T00:00:00.000Z,https://www.njtransit.com/var/var_servlet.srv?hdnPageAction=COVID19ProtectionTo
Pace Bus,Cook,Illinois,-0.726757992,0.53,-0.53,2020-03-23T00:00:00.000Z,https://evanstonnow.com/story/business/bill-smith/covid-19/2020-03-23/84365/pace-bus-ridership-cut-in-half
RTC Southern Nevada,Clark,Nevada,-0.59807738,0.7,-0.7,2020-03-26T00:00:00.000Z,https://www.reviewjournal.com/local/traffic/bus-ridership-in-las-vegas-down-nearly-70-amid-coronavirus-concerns-1991731/
RTD,Denver,Colorado,-0.775809321,0.6,-0.6,2020-03-18T00:00:00.000Z,https://web.archive.org/web/20200331001202/https://www.rtd-denver.com/coronavirus
SamTrans,San Mateo,California,-0.817200798,.65 - .7,-0.67,2020-03-24T00:00:00.000Z,http://www.samtrans.com/about/MediaRelations/news/Transit_District_Statement__Novel_Coronavirus__COVID-19__6596.html
SEPTA - Bus,Philadelphia,Pennsylvania,-0.601884812,0.78,-0.78,2020-03-30T00:00:00.000Z,http://www.septa.org/notice/March%2031%20FY20%20Ridership%20Transit%20Baseline%20Tracking.pdf
SEPTA - Rail,Philadelphia,Pennsylvania,-0.588396043,0.96,-0.96,2020-03-31T00:00:00.000Z,http://www.septa.org/notice/March%2031%20FY20%20Ridership%20RRD%20CCP%20Baseline%20Tracking%20(1).pdf
SMART,Wayne,Michigan,-0.579207058,0.9,-0.9,2020-04-04T00:00:00.000Z,https://www.ktvu.com/news/smart-slashes-service-as-ridership-plunges-amid-covid-19-pandemic
Sound Transit,King,Washington,-0.761991603,0.83,-0.83,2020-03-30T00:00:00.000Z,https://www.soundtransit.org/blog/platform/responding-to-heightened-covid-19-concerns
TANK,Hamilton,Ohio,-0.601348553,0.5,-0.5,2020-03-23T00:00:00.000Z,https://www.wcpo.com/news/transportation-development/facing-impact-of-covid-19-tri-state-public-transit-agencies-cut-service-eliminate-fares
TheBus,Honolulu,Hawaii,-0.768101266,0.65,-0.65,2020-03-28T00:00:00.000Z,https://www.masstransitmag.com/bus/news/21131721/hi-fall-in-ridership-leads-to-reduced-bus-service-in-hawaii
VIA,Bexar,Texas,-0.483701607,0.3,-0.3,2020-03-24T00:00:00.000Z,https://www.viainfo.net/covid-19/
WMATA,Washington,D.C,-0.708240222,0.75,-0.75,2020-03-29T00:00:00.000Z,https://www.wmata.com/service/status/details/COVID-19.cfm
